,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Date/Time,Unit,Value
12/31/2017 10:01:00 PM,C,-13.5
12/31/2017 12:01:00 AM,C,-15
12/31/2017 10:01:00 AM,C,-16
12/31/2017 02:01:00 AM,C,-16.5
12/31/2017 04:01:00 AM,C,-17
12/31/2017 06:01:00 AM,C,-17.5
12/31/2017 08:01:00 AM,C,-18
1/1/2018 12:01:00 PM,C,-5
1/1/2018 02:01:00 PM,C,-5
1/1/2018 04:01:00 PM,C,-8
1/1/2018 06:01:00 PM,C,-9
1/1/2018 08:01:00 PM,C,-10
1/1/2018 10:01:00 AM,C,-10.5
1/1/2018 10:01:00 PM,C,-10.5
1/1/2018 08:01:00 AM,C,-12.5
1/1/2018 12:01:00 AM,C,-13.5
1/1/2018 02:01:00 AM,C,-14
1/1/2018 06:01:00 AM,C,-14
1/1/2018 04:01:00 AM,C,-14.5
1/2/2018 02:01:00 PM,C,-5.5
1/2/2018 04:01:00 PM,C,-6
1/2/2018 12:01:00 PM,C,-7.5
1/2/2018 06:01:00 PM,C,-7.5
1/2/2018 06:01:00 AM,C,-8
1/2/2018 08:01:00 PM,C,-8
1/2/2018 08:01:00 AM,C,-8.5
1/2/2018 10:01:00 PM,C,-8.5
1/2/2018 04:01:00 AM,C,-9
1/2/2018 02:01:00 AM,C,-9.5
1/2/2018 10:01:00 AM,C,-9.5
1/2/2018 12:01:00 AM,C,-12
1/3/2018 12:01:00 PM,C,-3
1/3/2018 02:01:00 PM,C,-4
1/3/2018 04:01:00 PM,C,-4.5
1/3/2018 06:01:00 PM,C,-5
1/3/2018 08:01:00 PM,C,-5.5
1/3/2018 10:01:00 AM,C,-6.5
1/3/2018 10:01:00 PM,C,-6.5
1/3/2018 08:01:00 AM,C,-8
1/3/2018 06:01:00 AM,C,-8.5
1/3/2018 04:01:00 AM,C,-9
1/3/2018 12:01:00 AM,C,-9.5
1/3/2018 02:01:00 AM,C,-9.5
1/4/2018 12:01:00 PM,C,-5
1/4/2018 12:01:00 AM,C,-6.5
1/4/2018 04:01:00 AM,C,-6.5
1/4/2018 06:01:00 AM,C,-6.5
1/4/2018 02:01:00 AM,C,-7
1/4/2018 02:01:00 PM,C,-7
1/4/2018 08:01:00 AM,C,-8.5
1/4/2018 10:01:00 AM,C,-9
1/4/2018 04:01:00 PM,C,-9.5
1/4/2018 06:01:00 PM,C,-11.5
1/4/2018 08:01:00 PM,C,-14.5
1/4/2018 10:01:00 PM,C,-15.5
1/5/2018 12:01:00 PM,C,-9
1/5/2018 02:01:00 PM,C,-10.5
1/5/2018 04:01:00 PM,C,-13.5
1/5/2018 06:01:00 PM,C,-13.5
1/5/2018 08:01:00 PM,C,-14
1/5/2018 10:01:00 PM,C,-15
1/5/2018 12:01:00 AM,C,-17
1/5/2018 02:01:00 AM,C,-17.5
1/5/2018 10:01:00 AM,C,-17.5
1/5/2018 06:01:00 AM,C,-18
1/5/2018 04:01:00 AM,C,-18.5
1/5/2018 08:01:00 AM,C,-18.5
1/6/2018 12:01:00 PM,C,-9.5
1/6/2018 02:01:00 PM,C,-12
1/6/2018 04:01:00 PM,C,-13.5
1/6/2018 06:01:00 PM,C,-14
1/6/2018 08:01:00 PM,C,-14.5
1/6/2018 10:01:00 PM,C,-15
1/6/2018 12:01:00 AM,C,-17
1/6/2018 02:01:00 AM,C,-18.5
1/6/2018 04:01:00 AM,C,-19
1/6/2018 06:01:00 AM,C,-19
1/6/2018 10:01:00 AM,C,-19.5
1/6/2018 08:01:00 AM,C,-20
1/7/2018 10:01:00 PM,C,-3
1/7/2018 08:01:00 PM,C,-4
1/7/2018 06:01:00 PM,C,-5.5
1/7/2018 04:01:00 PM,C,-6.5
1/7/2018 02:01:00 PM,C,-7
1/7/2018 12:01:00 PM,C,-8.5
1/7/2018 10:01:00 AM,C,-10
1/7/2018 08:01:00 AM,C,-12
1/7/2018 06:01:00 AM,C,-13
1/7/2018 04:01:00 AM,C,-14
1/7/2018 02:01:00 AM,C,-14.5
1/7/2018 12:01:00 AM,C,-15
1/8/2018 06:01:00 PM,C,2.5
1/8/2018 08:01:00 PM,C,2.5
1/8/2018 02:01:00 PM,C,2
1/8/2018 04:01:00 PM,C,2
1/8/2018 10:01:00 PM,C,2
1/8/2018 12:01:00 PM,C,1.5
1/8/2018 10:01:00 AM,C,0.5
1/8/2018 08:01:00 AM,C,0
1/8/2018 02:01:00 AM,C,-1
1/8/2018 04:01:00 AM,C,-1
