,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Date/Time,Unit,Value
12/21/2017 12:01:00 AM,C,20.5
12/21/2017 02:01:00 AM,C,20.5
12/21/2017 04:01:00 AM,C,19.5
12/21/2017 06:01:00 AM,C,21
12/21/2017 08:01:00 AM,C,21
12/21/2017 10:01:00 AM,C,10.5
12/21/2017 12:01:00 PM,C,18.5
12/21/2017 02:01:00 PM,C,-1.5
12/21/2017 04:01:00 PM,C,-2
12/21/2017 06:01:00 PM,C,-2
12/21/2017 08:01:00 PM,C,-1
12/21/2017 10:01:00 PM,C,-2
12/22/2017 12:01:00 AM,C,-1
12/22/2017 02:01:00 AM,C,-2.5
12/22/2017 04:01:00 AM,C,-1
12/22/2017 06:01:00 AM,C,-2.5
12/22/2017 08:01:00 AM,C,-4
12/22/2017 10:01:00 AM,C,-4
12/22/2017 12:01:00 PM,C,-3.5
12/22/2017 02:01:00 PM,C,-3
12/22/2017 04:01:00 PM,C,-3
12/22/2017 06:01:00 PM,C,-3
12/22/2017 08:01:00 PM,C,-3
12/22/2017 10:01:00 PM,C,-3
12/23/2017 12:01:00 AM,C,-1.5
12/23/2017 02:01:00 AM,C,-2.5
12/23/2017 04:01:00 AM,C,-3.5
12/23/2017 06:01:00 AM,C,-3
12/23/2017 08:01:00 AM,C,-3
12/23/2017 10:01:00 AM,C,-1.5
12/23/2017 12:01:00 PM,C,-0.5
12/23/2017 02:01:00 PM,C,0.5
12/23/2017 04:01:00 PM,C,1.5
12/23/2017 06:01:00 PM,C,1
12/23/2017 08:01:00 PM,C,1
12/23/2017 10:01:00 PM,C,0.5
12/24/2017 12:01:00 AM,C,0
12/24/2017 02:01:00 AM,C,-0.5
12/24/2017 04:01:00 AM,C,-0.5
12/24/2017 06:01:00 AM,C,-2
12/24/2017 08:01:00 AM,C,-2.5
12/24/2017 10:01:00 AM,C,0
12/24/2017 12:01:00 PM,C,0.5
12/24/2017 02:01:00 PM,C,0.5
12/24/2017 04:01:00 PM,C,-0.5
12/24/2017 06:01:00 PM,C,0
12/24/2017 08:01:00 PM,C,-2.5
12/24/2017 10:01:00 PM,C,-2
12/25/2017 12:01:00 AM,C,-2.5
12/25/2017 02:01:00 AM,C,-2.5
12/25/2017 04:01:00 AM,C,-3.5
12/25/2017 06:01:00 AM,C,-4
12/25/2017 08:01:00 AM,C,-3
12/25/2017 10:01:00 AM,C,-2
12/25/2017 12:01:00 PM,C,-1.5
12/25/2017 02:01:00 PM,C,-2
12/25/2017 04:01:00 PM,C,-3
12/25/2017 06:01:00 PM,C,-4.5
12/25/2017 08:01:00 PM,C,-6
12/25/2017 10:01:00 PM,C,-7
12/26/2017 12:01:00 AM,C,-8.5
12/26/2017 02:01:00 AM,C,-9.5
12/26/2017 04:01:00 AM,C,-10
12/26/2017 06:01:00 AM,C,-11
12/26/2017 08:01:00 AM,C,-12
12/26/2017 10:01:00 AM,C,-6
12/26/2017 12:01:00 PM,C,-9
12/26/2017 02:01:00 PM,C,-9
12/26/2017 04:01:00 PM,C,-10
12/26/2017 06:01:00 PM,C,-11
12/26/2017 08:01:00 PM,C,-12
